# vim:fileencoding=utf-8:list:listchars=trail\:]:
# version  6.0
# huxi 3500
[Description]
Name=呼吸
MaxCodes=3
EndInput=1
MaxElement=0
UsedCodes=;/'abcdefghijklmnopqrstuvwxyz
WildChar=*
NumRules=0
EnChar=`
PyChar={

[CharDefinition]

[Punctuation]
{ 『
| ÷
} 』
~ ～
\ 、
! ！
# ＃
$ ￥
% ％
& ※
( （
) ）
* ×
+ ＋
, ，
- －
. 。
: ：
; ；
< 《
= ＝
> 》
? ？
@ ◎
[ 【
] 】
^ ……
_ ──
" “ ”
' ‘ ’
~ 　
/ /

[Main]
; 的
a 下
a/ 一个
a; 可
aa 一
ad 于
ae 刊
aeb 型
aed 干
aek 刑
ael 殖
aep 形
aev 开
afv 末
agi 蚕
agj 吞
ago 顶
agr 无
ahi 武
ahm 残
ahr 鹉
aia 丁
aii 正
aim 政
aiv 焉
aiz 丐
aji 融
ajj 哥
ajk 副
ajo 吏
ajr 歌
aju 豆
ajy 豌
akd 列
akk 晋
akm 严
ako 更
aks 裂
aku 亚
akv 烈
akw 恶
akz 画
alb 再
alg 殃
all 丽
ame 歼
amk 殊
ank 百
anr 夏
aos 丈
ara 歹
ark 殉
arr 死
aua 平
auo 灭
av 天
axz 妻
ay 万
az 与
azs 瓦
b 来
b/ 工作
b; 去
ba 士
ba; 考
baa 土
bae 赶
baj 坷
bao 埂
bau 坪
baz 巧
bbd 封
bbi 卦
bbm 堵
bbr 款
bbz 坛
bcx 趣
bda 二
bds 寺
bdz 亏
be 墙
bej 塔
beo 填
bez 堪
bga 坯
bgi 坏
bgo 项
bgz 垮
bha 域
bhm 越
bhy 城
bhz 堰
bia 工
bid 赴
bii 址
bik 墟
bil 盐
bix 五
bj 喜
bjj 嘉
bjp 彭
bjr 袁
bjv 吉
bjx 鼓
bk 示
bka 坦
bkb 埋
bki 坤
bkl 趟
bko 未
bkv 堤 汞
bky 塌
blo 贡 坝
bma 者
bme 埠
bmo 攻
bmv 煮
bmy 都
bn 井
bn; 赤
bni 堆
bnm 赦
bno 赫
boa 走
bod 夫
bok 替
bol 规
boo 巫
bop 趁
bos 赵
bpj 垢
bqf 垛
bqs 巩
bqw 恐
brd 元
brg 顽
bro 坎
brr 老
brt 均
brx 趋
bse 壤
bsj 培
bsm 墩
bso 坟
bsq 坑
bsr 境
bsu 垃
bsy 坊
btj 塘
bub 幸
bug 颊
buk 增
buo 夹
bv 起
bwk 壶
bwq 壳
bwu 壹
bwz 志
bxg 块
bxi 坡
bxj 吾
bxk 馨
bxm 声
by 教
bya 孝
byj 超
bym 功
byo 场
bys 圾 韧
byy 起
bz 互
bz; 动
bzd 云
bzi 击
bzm 埃
bzn 魂
bzs 专
bzy 却 劫
c 现
c/ 现在
c; 理
caa 王
cag 奏
cbi 奉
cbn 耕
cbr 玩
cbz 耘
ccm 瑟
ccw 慧
ccx 琴
cds 球
cea 耳
cev 弄
cff 琳
cgi 环
cgs 琢
ch 长
ci 耻
cia 丰
cii 蠢
cij 玷
ciq 青
ciz 素
cjj 噩
cjo 职
ckl 琐
ckv 泰
ckz 聘
clg 瑞
clo 责
cmd 寿
cmf 秦
cmh 耗
cmk 珠
